Company Name,Original_Number,URL,is_b2b,is_b2b_reason,serves_1000,serves_1000_reason,found_number,sales_pitch,description,matched_golden_partner,match_reasoning,Industry,Matched Partner Description,Avg Leads Per Day,Rank,B2B Indicator,Phone Outreach Suitability,Target Group Size Assessment,Products/Services Offered,USP/Key Selling Points,Customer Target Segments,Business Model,Company Size Inferred,Innovation Level Indicators,Website Clarity Notes,Original Row Number,ScrapeStatus
RFJ,,http://www.rfj.ch,No,The radio station 'RFJ' provides services to the general public ('tous les Jurassiens peuvent s'y retrouver') and is therefore primarily B2C.,Yes,"The radio station broadcasts in multiple locations ('canton du Jura, La Chaux-de-Fonds et une partie du Jura bernois, ainsi qu'en DAB+ dans toute la Suisse romande'), implying a large audience and the capacity to serve over 1,000 customers.",,,,,Pre-qualification failed: Not_B2B,Telecommunications Services / Infrastructure,,,,,,,,,,,,,,2,Used_Fallback_Description
Moyn Media GmbH,'+49 22 126138401,http://www.moyn-media.com,Yes,"The company provides services like ""INFLUENCER & SOCIAL MEDIA MARKETING"", ""VIDEO PRODUCTION"", ""BRANDED CHANNELS & FORMATS"", and ""CONSULTING, STRATEGY & WORKSHOPS"" for ""Unternehmen"" (companies) and ""Marken"" (brands), indicating a B2B focus.",Yes,"The company mentions working with an ""internationales Netzwerk"" (international network) and offers services like ""Social Media Marketing"" and ""Video Production"" which are scalable, suggesting the capacity to serve over 1,000 customers.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Digitales Marketing, das ebenfalls Webdesign, SEO und Social Media Marketing anbietet und sich an Unternehmen richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","MOYN MEDIA is a full-service agency based in Cologne, Germany, specializing in creating authentic, innovative, and impactful brand experiences across various platforms and channels. They offer services in influencer and social media marketing, video production, branded channels and formats, and consulting, strategy, and workshops. Their influencer marketing focuses on building strong creator relationships and tailoring strategies to both companies and creators, integrating in-house expertise and social media resources. In video production, they create high-quality videos for all platforms, leveraging both their network and in-house expertise. They develop and produce branded channels and content, offering comprehensive support from initial concept to ongoing management. Additionally, they provide consulting and workshops on social media, influencer marketing, and video production, sharing their expertise to build sustainable know-how within client teams. MOYN MEDIA emphasizes transparency (TRANSPARAGENCY) and efficient budget allocation to maximize the impact of their work. They work with brands, institutions, and broadcasters, offering communication strategies, format development, and the creation of brand channels and owned & operated media content.",PNP Media,"Gemeinsame Branche: Digitale Marketing Agentur; Ähnliche Services: Webdesign, SEO, Social Media Marketing; Fokus auf innovative Lösungen und moderne Technologien",Marketing Agency,"Industry: Digital Marketing Agency (Full-Service); Services/Products: Web Design & Development (creation of modern, user-friendly websites and online shops); Search Engine Optimization (SEO); Search Engine Advertising (SEA) & Google Ads; Performance Marketing (development of data-driven marketing strategies); Social Recruiting; Branding & Print Materials.; Target Audience: Businesses.; Business Model: Service-oriented (offers a broad palette of services).; Company Size: Startup / Small; Innovation Level: ""Innovative solutions""; ""Use of modern technologies and methods""; ""staying at the forefront of digital development.""",5.0,34,True,True,Appears Medium,"Influencer and social media marketing; Video production; Branded channels and formats; Consulting, strategy, and workshops",Authentic and impactful brand experiences; Strong creator relationships; Transparency and efficient budget allocation,Brands; Institutions; Broadcasters,Full-service marketing agency,Unknown/Not Specified,Summary mentions innovative brand experiences.,The business model and services are clearly articulated. Target group is also clear.,3,Success
Boreal Light GmbH,'+49 30 98397672,http://www.boreallight.com,Yes,"The company provides solutions for hospitals, hotels, farming, and wastewater industries, indicating a B2B focus. The text mentions 'Commercial (Hotel, Resorts, Hospitals, etc.)' and 'Industrial (Food processing, Beverage, Mining, Agriculture, etc.)'.",Yes,"The company serves '8,000,000 + People served every day' and is involved in 'Africa’s largest solar water desalination project for hospitals and health clinics! 31 hospitals in two countries'. This indicates a large scale and the capacity to serve over 1,000 customers.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Dienstleistungen und innovative Schwesternrufsysteme, das ebenfalls Krankenhäuser und Pflegeeinrichtungen anspricht. Für dieses Unternehmen generieren wir täglich 3 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Boreal Light GmbH is a Berlin-based company specializing in renewable energy solutions for water treatment facilities. They design and manufacture affordable solar water desalination systems for off-grid communities globally. Their systems are capable of delivering high-quality drinking, irrigation, fish farm, and sanitation water from saline and polluted water sources, powered entirely by solar energy. The company emphasizes simplicity, affordability, and off-grid operation as core competencies. Their primary product, the Winture Planet Cube, is a modular, containerized desalination system adaptable for various applications, including hospitals (with ozone disinfection), hotels, farming (with the Planet Green add-on for irrigation and fertilization), and wastewater treatment. They offer tailor-made solutions and boast a plug-and-play installation service. Boreal Light aims to provide sustainable and social business solutions, ensuring access to safe water and improving the lives of communities by increasing food security and hygiene. They have received several awards for their innovative approach.",visitronic GmbH,"Gemeinsame Zielgruppe: potenziell Krankenhäuser und Pflegeeinrichtungen (für Schwesternrufsysteme).; Ähnliche technologische Ausrichtung: IT-Dienstleistungen und spezialisierte Technologien.; Boreallight bietet Wasseraufbereitung, visitronic bietet innovative Schwesternrufsysteme.",Renewable Energy Water Treatment,"Industry: IT Services; MSR (Measurement, Control, Regulation) Technology; Smart Home Technology; RFID Technology; Security Technology; Telecommunications (Data Networks, VoIP, Fiber Optics); Services/Products: Implementation and technical system realization of products in IT systems, MSR, smart home, and RFID technology; IT project support; IT coaching; IT consulting; IT services; System and plant administration; Installation and maintenance of burglary protection systems; Mobile and autonomous 24/7 security solutions; Consulting and implementation of innovative nurse call systems and light call systems; Planning and setup of fast data networks (including VoIP telephony and network technology for software applications); Installation of fiber optic cables for networking buildings and server rooms.; Target Audience: Senior residences and care facilities (specifically for nurse call systems); Other services likely target B2B clients needing IT and specialized technology solutions.; Business Model: Service-oriented (IT services, consulting, coaching, project support, administration, maintenance); Project-based (implementation, installation).; Company Size: Unknown/Not Specified; Innovation Level: ""innovative nurse call systems""; Specialization in Smarthome technology, RFID technology, and Fiber optics.",3.0,29,True,True,Appears Medium,Solar water desalination systems; Winture Planet Cube (modular desalination system); Planet Green add-on (irrigation and fertilization); Tailor-made water treatment solutions,Affordable solar water desalination; Off-grid operation; Modular and adaptable systems; Sustainable and social business solutions,Off-grid communities; Hospitals; Hotels; Farming; Wastewater treatment facilities,Manufacturing and sales of solar-powered water treatment systems,SME,They have received several awards for their innovative approach.,The business model and target audience are clearly articulated in the summary.,4,Success
EDELWEISS Digital GmbH,'+43 1 8653899,http://www.edelweiss-digital.at,Yes,"The company is a ""Marketing-Agentur für österreichische KMU"" (marketing agency for Austrian SMEs), indicating a B2B focus.",Yes,"The text mentions ""187 + Zufriedene KundInnen"" (satisfied customers) and the company has ""3 Standorten in Niederösterreich, der Steiermark und Tirol"" (3 locations), suggesting a capacity to serve a large number of customers.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Digital Marketing, das ebenfalls KMUs anspricht. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","EDELWEISS Digital GmbH is a regional online marketing agency based in Austria, focusing on supporting Austrian small and medium-sized enterprises (KMU) in achieving a successful online presence. With over 40 employees and three locations in Lower Austria, Styria, and Tyrol, the agency offers a range of digital communication services aimed at generating contacts and leads from potential customers searching online for services, products, and companies. Their product portfolio includes website development (search engine optimized), social media marketing, SEO, local SEO, Google Business Profile optimization, link building, SEA (Google Ads including search, display, shopping, YouTube, and app campaigns), Google Remarketing, branding (logo design, photo & video), and reputation management (reviews). They offer a Firmendaten Manager to ensure consistent business data across online platforms. EDELWEISS Digital emphasizes personalized consultation, technically sophisticated solutions tailored to each client's needs, and a commitment to customer satisfaction. They highlight their regional presence, avoiding outsourcing and focusing on competent employees with a passion for their work. The company aims to provide a comprehensive, worry-free package for their clients' online presence, emphasizing quality, speed, and flexibility.",PNP Media,"Gemeinsame Branche: Online Marketing Agentur.; Ähnliche Produkte/Services: Webdesign, SEO, SEA, Social Media Marketing.; Fokus auf KMU durch Online Marketing Services.",Online Marketing,"Industry: Digital Marketing Agency (Full-Service); Services/Products: Web Design & Development (creation of modern, user-friendly websites and online shops); Search Engine Optimization (SEO); Search Engine Advertising (SEA) & Google Ads; Performance Marketing (development of data-driven marketing strategies); Social Recruiting; Branding & Print Materials.; Target Audience: Businesses.; Business Model: Service-oriented (offers a broad palette of services).; Company Size: Startup / Small; Innovation Level: ""Innovative solutions""; ""Use of modern technologies and methods""; ""staying at the forefront of digital development.""",5.0,34,True,True,Appears Medium,"Website development (search engine optimized); Social media marketing; SEO; Local SEO; Google Business Profile optimization; Link building; SEA (Google Ads); Google Remarketing; Branding (logo design, photo & video); Reputation management (reviews); Firmendaten Manager","Personalized consultation; Technically sophisticated solutions tailored to each client's needs; Regional presence (Austria); Comprehensive, worry-free package; Quality, speed, and flexibility",Austrian small and medium-sized enterprises (KMU),Service-oriented; Digital marketing agency,SME,technically sophisticated solutions,The business model and target group are clearly communicated in the summary.,5,Success
Fehling Instruments GmbH & Co. KG,,http://www.fehling-instruments.de,Yes,"The company ""entwickelt, produziert und vertreibt chirurgische Instrumente, Implantate und Verbrauchsartikel"" which are sold to hospitals and medical professionals, indicating a B2B model.",Yes,"The company has ""Weltweite Vertretungen"" and is ""weltweit bekanntes und angesehenes Unternehmen"", suggesting a large scale and the capacity to serve over 1000 customers.",+496188957440,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich HealthTech, das intelligente Systeme zur Überwachung von Drainagen und Kathetern für Krankenhäuser entwickelt. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","FEHLING INSTRUMENTS is a globally recognized company with over 30 years of experience in the field of medical technology. The company develops, manufactures, and distributes surgical instruments, implants, and consumables, also offering repair services and customized product variants. Their main target markets are neurosurgery (spine and brain) as well as thoracic, cardiac, and vascular surgery. FEHLING INSTRUMENTS is known for its high-quality standards, underpinned by a quality management system certified according to DIN EN ISO 13485 and Annex IX, Chapter I and III of Regulation (EU) 2017/745 (MDR). The company strives for excellence in the functionality and cost-effectiveness of its products through continuous innovation in materials, mechanics, and design. Customer satisfaction is a primary goal, supported by focused communication and logistics. Fehling Instruments is 100% owned by Stille AB.",Elixion Medical,Gemeinsame Branche: Medizintechnik/HealthTech.; Ähnliche Ausrichtung auf Digitalisierung von Gesundheitsprozessen.; Fokus auf Krankenhäuser und Kliniken als Zielgruppe.,Medical Technology,Industry: HealthTech; Digitalization of health processes; Services/Products: SmartDrain (intelligent system for monitoring drains and catheters); Innovative solutions for automation and real-time monitoring of patient fluid lines.; Target Audience: Hospitals; Care facilities.; Business Model: Product-driven (development and sale of medical devices/systems).; Company Size: Startup; Innovation Level: Innovative solutions; Digitization; Automation; Real-time monitoring; Intelligent system; Machine learning; Wireless data transmission; Innovative technologies.,5.0,4,True,True,Appears Large / >=500 potential,Surgical instruments; Implants; Consumables; Repair services; Customized product variants,"High-quality standards; Continuous innovation in materials, mechanics, and design; Customer satisfaction",Neurosurgery (spine and brain); Thoracic surgery; Cardiac surgery; Vascular surgery,"Develops, manufactures, and distributes medical devices and related services",SME,"The company strives for excellence in the functionality and cost-effectiveness of its products through continuous innovation in materials, mechanics, and design.",The business model and target audience are clearly articulated in the summary.,6,Success
Schmiede.one,'+49 211 97634953,http://www.schmiede.one,Yes,"The company provides ""automation solutions and digital products"" for agriculture, indicating a B2B focus. They also mention ""strong farming partners"".",Yes,"The company is the ""innovation lab of the Grimme group"", which suggests a large scale. They also develop ""scalable"" solutions and mention ""digital customer journey"" providing services like ""selling, buying, ordering parts, machine management, tracking"".",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Automatisierungstechnik, das Verpackungs- und Palettiermaschinen sowie mobile Roboter für diverse Industriezweige anbietet. Für dieses Unternehmen generieren wir täglich 6 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Schmiede.one is an international team operating as the innovation lab of the Grimme group, focused on developing automation solutions and digital products for the agricultural sector. They aim to enhance agriculture through robotics and web development, with a vision of fully autonomous harvesting operations. Their work includes developing mobile robotics applications like collision avoidance and precise navigation for harvesters (e.g., Harvey.one), as well as stationary robotic applications for yield classification and separation using machine learning and computer vision. Schmiede.one emphasizes a collaborative, agile development culture with direct client interaction, short release cycles, and continuous learning. They utilize technologies like ROS, SLAM, 5G, Computer Vision, WebRTC, Neural Networks, Machine Learning, Typescript, NextJS, Nestjs, microservices, Azure, AWS, Docker, Terraform, ReactNative, and Flutter. They focus on sustainable agriculture through projects like 5G.NATURAL, which implements a networked swarm of agricultural robots, and SAAT, which aims to enable sustainable agriculture through mixed crop cultivation and intelligent optical sorting. They offer perks like job rotation, education budget, flexible working hours, gym membership, and home office days. They are looking for talented individuals to join their multidisciplinary team.",project Service & Produktion GmbH,"Gemeinsame Ausrichtung auf Automatisierungslösungen.; Angebot von Robotik-Anwendungen, einschließlich mobiler Roboter (Cobots und AGVs).; Fokus auf den Einsatz von Technologie zur Effizienzsteigerung in verschiedenen Branchen.",Agricultural Technology,"Industry: Automation Technology; Packaging Technology; Warehouse Logistics; Services/Products: Packaging and palletizing machines (e.g., PROPAC packing robot, PROPAL palletizer); Conveyor technology (for pallets and piece goods); Labeling solutions (e.g., PROLABEL R150 label applicator); Cobots and mobile robots (collaborative robots, automated guided vehicles); Support services (inspections, maintenance, training, 24-hour service hotline).; Target Audience: Large enterprises; Food & Beverage industry (e.g., Coca-Cola, Nestlé); Pharmaceutical & Chemical industry (e.g., Bayer AG); Packaging & Logistics sector; Wood industry; Steel industry; Construction industry; Glass industry; Paper industry; Hygiene industry.; Business Model: Product-driven (sale of machinery and systems); Service-oriented (inspections, maintenance, training, support); Project-based (customized solutions).; Company Size: …; Innovation Level: Production automation; Robotics (Packroboter, Palettierer, Cobots, mobile robots/automated guided vehicles); Ecologically sustainable processes; Human-machine collaboration.",6.0,27,True,True,Appears Medium,Mobile robotics applications for agriculture; Stationary robotic applications for yield classification and separation; Automation solutions for the agricultural sector; Digital products for the agricultural sector,"Focus on autonomous harvesting operations; Collaborative, agile development culture; Direct client interaction; Emphasis on sustainable agriculture",Agricultural sector,Innovation lab developing automation and digital solutions,SME,"developing automation solutions and digital products for the agricultural sector. They aim to enhance agriculture through robotics and web development, with a vision of fully autonomous harvesting operations.","The summary clearly describes the company's focus on automation and digital solutions for the agricultural sector, but the specific target group size is unclear.",7,Success
Haselmeier GmbH,'+49 711 719780,http://www.haselmeier.com,Yes,"The text states, ""All information contained herein is directed at medical devices manufacturer and pharmaceutical companies.""",Yes,"The company is described as a ""global player"" with ""manufacturing facilities in the EU, USA and India,"" indicating a large scale of operations.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Pharmazeutische Verpackungslösungen, das sich ebenfalls an Pharmaunternehmen und Apotheken richtet. Für dieses Unternehmen generieren wir täglich 10 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Haselmeier, a medmix brand, is a global medical device manufacturer specializing in advanced injection pen systems and autoinjectors for subcutaneous self-administration. With over a century of experience, the company offers a comprehensive portfolio ranging from standard product platforms to fully customized solutions. Their products include autoinjectors (pre-filled syringe based, single fixed dose, hidden needle) and injection pens (cartridge-based, disposable or reusable, fixed/variable/multiple fixed dose options). Haselmeier provides full-service support throughout the entire development process, including consulting, project management, industrialization & manufacturing, and life cycle management. The company has manufacturing facilities in the EU, USA, and India. Sustainability is a core part of their business strategy, incorporating ESG metrics into executive performance goals. Haselmeier aims to be the preferred partner for pen and autoinjector solutions for pharma and biotech companies worldwide, providing innovative solutions to help millions of people live healthier and more confident lives. They are committed to delivering high-quality, safe, and reliable devices, supported by a stringent quality management system that meets international standards. Key products include PiccoJect, D-Flex, and Re-Vario. They serve medical device manufacturers and pharmaceutical companies.",PrimeBlister,Gemeinsame Zielgruppe: Pharmazeutische Unternehmen und Hersteller medizinischer Geräte.; Ähnliche Produkte/Services: Fokus auf sichere und fehlerfreie Medikamentenverabreichung und Verpackungslösungen.; Überschneidung im Bereich der nachhaltigen Verpackungslösungen.,Medical Device Manufacturing,"Industry: Healthcare Solutions (specifically, medication blistering solutions / pharmaceutical packaging); Services/Products: Automated blistering solutions for pharmacies and nursing homes; Secure and error-free medication dispensing; Sustainable blister packaging (including plastic-free blister cards); Optimization of medication workflows; Individual blistering solutions; Consumables for blistering.; Target Audience: Pharmacies; Care facilities (including nursing homes); Blister centers.; Business Model: Product-driven (selling blistering systems, packaging, and consumables); Service-oriented (offering solutions and consulting to optimize processes and generate new revenue streams for customers).; Company Size: Startup; Innovation Level: ""Innovative blistering solutions""; ""Automated blistering""; ""Continuously develops new blister solutions""; Adapting to new legal requirements in medication supply.",10.0,14,True,True,Appears Large / >=500 potential,"Autoinjectors (pre-filled syringe based, single fixed dose, hidden needle); Injection pens (cartridge-based, disposable or reusable, fixed/variable/multiple fixed dose options); Consulting; Project management; Industrialization & manufacturing; Life cycle management; PiccoJect; D-Flex; Re-Vario","Comprehensive portfolio ranging from standard product platforms to fully customized solutions; Full-service support throughout the entire development process; Manufacturing facilities in the EU, USA, and India; Sustainability as a core part of their business strategy; High-quality, safe, and reliable devices",Medical device manufacturers; Pharmaceutical companies; Pharma and biotech companies,Medical device manufacturer providing injection pen systems and autoinjectors with full-service support.,Large Enterprise,The company offers advanced injection pen systems and autoinjectors for subcutaneous self-administration and aims to provide innovative solutions.,The business model and target audience are clearly articulated in the summary.,8,Success
H+H SYSTEM,'+43 800 4772123,http://www.hhsystem.com,Yes,"The company provides ""reliable solutions that make daily work in hospitals, clinics, and care facilities noticeably easier.""",Yes,"The company is ""an internationally successful company with excellent customer relations"" and operates in ""over 60 countries"" with ""two locations"".",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Pharmazeutische Verpackungstechnologie, das sich auf nachhaltige Blisterverpackungen für Apotheken und Pflegeeinrichtungen spezialisiert hat. Für dieses Unternehmen generieren wir täglich 10 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","H+H SYSTEM is a company specializing in organization and storage solutions, particularly for the healthcare sector. With over 50 years of experience, they provide systems designed to optimize clarity and efficiency in the storage and management of medications, medical supplies, and essential items. Their product range includes cart and drawer organization systems with flexible dividers, refrigerator storage solutions, ISO modular tray systems, FlexShelf storage and workstations, flexible shelf dividers, bins and boxes, medication distribution solutions, and labeling and logistics tools. These products are designed for use in hospitals, clinics, nursing homes, laboratories, and pharmacies. H+H SYSTEM emphasizes flexibility and customization, offering solutions tailored to individual needs and spaces. They operate with two locations, one in Strobl am Wolfgangsee, Austria, and another in Pittsburgh, Pennsylvania, serving over 60 countries. The company is committed to sustainability, as evidenced by their ""Committed"" status from EcoVadis. Their mission is to create space and time in healthcare through intelligent solutions, bringing order and efficiency to storage systems.",go.ecoblister GmbH,"Gemeinsame Zielgruppe: Apotheken, Kliniken, Pflegeheime und Labore.; Ähnliche Produkte/Services: Lösungen für die Medikamentenverteilung und -lagerung.; Überschneidung im Gesundheitswesen: Beide Unternehmen bedienen den Bedarf an effizienten und sicheren Lösungen im Gesundheitsbereich.",Healthcare Storage Solutions,"Industry: Sustainable Blister Packaging Solutions; Pharmaceutical Packaging Technology (specifically for pharmacies, care facilities, and blister centers); Services/Products: Sustainable medication calendars (100% plastic-free blister packs); BlisterJacky® (light-guided system for filling blister cards); Celia® Blisterautomat (automated blister production machine); Blistering machines for various needs; Sustainable consumables (e.g., plastic-free blister cards); Training; Setup and optimization support; Occupational safety solutions.; Target Audience: Pharmacies; Care facilities (including nursing homes and retirement homes); Blister centers.; Business Model: Product-driven (selling machines like BlisterJacky®, Celia® Blisterautomat, and consumables like sustainable blister cards) with significant service components (training, setup, support, optimization).; Company Size: Unknown/Not Specified; Innovation Level: ""innovativer Anbieter"" (innovative provider); ""plastikfreie und kompostierbare Medikamentenverpackungen"" (plastic-free and compostable medication packaging); BlisterJacky® as a ""Lichtgeführtes System"" (light-guided system); Celia® Blisterautomat as an ""Automatisierte Lösung"" (automated solution); ""innovativen Automatisierungssystemen"" (innovative automation systems); ""Modular & skalierbar – von manuellen Systemen bis zur Automatisierung"" (modular & scalable – from manual systems to automation).",10.0,1,True,True,Appears Large / >=500 potential,Cart and drawer organization systems; Refrigerator storage solutions; ISO modular tray systems; FlexShelf storage and workstations; Flexible shelf dividers; Bins and boxes; Medication distribution solutions; Labeling and logistics tools,Over 50 years of experience; Tailored to individual needs and spaces; Solutions designed to optimize clarity and efficiency,Hospitals; Clinics; Nursing homes; Laboratories; Pharmacies,Direct sales of storage solutions and systems,SME,"Committed status from EcoVadis, mission to create space and time in healthcare through intelligent solutions",The business model and target audience are clearly articulated in the summary.,9,Success
HOTSTUFF,,http://www.hotstuff.mx,Yes,"The company provides ""Digital strategy, marketing for startups & branding studio"" and works with ""global companies and forward-thinking small & medium businesses.""",Yes,"The company has a ""global footprint spans Latin America, North America, and Europe"" and works with ""global companies"", indicating a capacity to serve a large number of customers.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für eine Digitalagentur, die sich auf Webdesign, SEO und SEA für Unternehmen spezialisiert hat. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Hotstuff is a digital creative agency based in Mexico City and Berlin that specializes in digital strategy, marketing for startups, and branding. They offer services including branding (naming, visual identity, brand guidelines, art direction, asset production), product and platform design (website and app design, UX/UI, user research and testing, product design sprints), and integrated marketing (campaigns, content strategy and development, social media, digital marketing, experience design, service design). They work with global companies and small & medium businesses across Latin America, North America, and Europe. Hotstuff emphasizes data-driven creative solutions, high quality, and punctuality. They aim to create culture for brands by bringing brands into people's culture.",PNP Media,Gemeinsame Ausrichtung auf digitale Marketingdienstleistungen.; Überschneidung im Bereich Webdesign und -entwicklung.; Ähnliche Dienstleistungen im Bereich Suchmaschinenoptimierung (SEO) und Suchmaschinenwerbung (SEA).; Beide bedienen Unternehmen als Zielgruppe.,Digital Creative Agency,"Industry: Digital Marketing Agency (Full-Service); Services/Products: Web Design & Development (creation of modern, user-friendly websites and online shops); Search Engine Optimization (SEO); Search Engine Advertising (SEA) & Google Ads; Performance Marketing (development of data-driven marketing strategies); Social Recruiting; Branding & Print Materials.; Target Audience: Businesses.; Business Model: Service-oriented (offers a broad palette of services).; Company Size: Startup / Small; Innovation Level: ""Innovative solutions""; ""Use of modern technologies and methods""; ""staying at the forefront of digital development.""",5.0,34,True,True,Appears Medium,Digital strategy; Marketing for startups; Branding; Product and platform design; Integrated marketing,Data-driven creative solutions; High quality; Punctuality; Creating culture for brands,"Global companies; Small & medium businesses; Companies across Latin America, North America, and Europe; Startups",Service-oriented; Project-based agency,SME,,Business model and target audience are reasonably clear from the summary.,10,Success
LHH|OTM Karriereberatung GmbH,'+43 1 7132811,http://www.lhhaustria.at,Yes,"The company offers 'Outplacement', 'Talentmanagement', 'Leadership Development', and 'Personaldiagnostik & Assessment', which are business solutions. Also, it mentions serving 'Fortune 500' and 'Global 500' companies.",Yes,"The text states that they have served over '1000 Unternehmen' (companies) and are part of a 'globalen Netzwerk von über 290 Standorten in 70 Ländern' (global network of over 290 locations in 70 countries), indicating a large capacity.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich digitale Personalvermittlung im Gesundheitswesen, das sich an Krankenhäuser, Kliniken und andere Organisationen im Gesundheitssektor richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","LHH | OTM Karriereberatung, formerly OTM Karriereberatung GmbH (previously known as DBM Österreich), operates as a career management firm in Austria, providing strategic HR solutions. As part of the global LHH network, they offer services including career transition & outplacement (Berufliche Neuorientierung, Outplacement, Trennungsmanagement, Expat Partner Placement), talent management (Personaldiagnostik & Assessment), leadership development (Führungskräfte Coaching), and change and transition management. They cater to both individuals undergoing career changes and organizations seeking talent development and management solutions. Their business model involves providing consulting and coaching services, leveraging a global network and local expertise. They emphasize a data-driven approach, incorporating AI in their learning solutions to tailor content for leadership development. LHH | OTM highlights its experience, global reach (over 290 locations in 70 countries), and a high success rate in career transitions. They aim to prepare individuals and companies for the future of work by helping employees recognize their potential and adapt to changing business needs. They also focus on supporting companies through restructuring and change, strengthening employee resilience and productivity. The company is committed to ethical practices and quality standards, being a member of the Association of Career Firms Europe and leading the Austrian chapter.",MEDWING GmbH,"Gemeinsame Ausrichtung auf HR-Lösungen und Personalvermittlung.; MEDWING ist spezialisiert auf den Gesundheitssektor, während LHH allgemeine Karriere- und Talentmanagement-Dienstleistungen anbietet.; Beide bedienen Organisationen, die Talententwicklungs- und Managementlösungen suchen.",Career Management/HR Consulting,"Industry: Digital Recruitment Platform for Healthcare Professionals; Healthcare Staffing; HR Tech for Healthcare; Services/Products: Digital platform for direct access to a pool of 600,000+ healthcare candidates; Job board for companies to post ads and target professionals; Temporary staffing services (MEDWING NOW); International recruiting with integration support for qualified professionals from abroad; Additional headhunting services (candidate pre-selection).; Target Audience: Employers in the healthcare sector, including large hospitals/clinics (e.g., Charité, Vivantes, Sana) and smaller outpatient care services/nursing facilities.; Business Model: Platform-based (offering access to a candidate pool); Job advertisement services; Temporary staffing agency services; Headhunting services.; Company Size: Unknown/Not Specified; Innovation Level: ""Digital platform""; ""Innovative solutions""; ""Revolutionizes personnel placement in healthcare through digital solutions.""",5.0,24,True,True,Appears Large / >=500 potential,Career transition & outplacement; Talent management; Leadership development; Change and transition management,Global network (LHH); Local expertise in Austria; Data-driven approach with AI in learning solutions; High success rate in career transitions,Individuals undergoing career changes; Organizations seeking talent development and management solutions,Consulting and coaching services,Large Enterprise,"They emphasize a data-driven approach, incorporating AI in their learning solutions to tailor content for leadership development.",The business model and target audience are clearly articulated in the summary.,11,Success
