Company Name,Original_Number,URL,is_b2b,is_b2b_reason,serves_1000,serves_1000_reason,found_number,sales_pitch,description,matched_golden_partner,match_reasoning,Industry,Matched Partner Description,Avg Leads Per Day,Rank,B2B Indicator,Phone Outreach Suitability,Target Group Size Assessment,Products/Services Offered,USP/Key Selling Points,Customer Target Segments,Business Model,Company Size Inferred,Innovation Level Indicators,Website Clarity Notes,Original Row Number,ScrapeStatus
Solaire Romand,'+41 800 800 003,http://www.solaireromand.ch,Yes,"The company provides solar panel installation and maintenance, which can be for businesses or individuals, but the scale of the operation and the mention of 'chefs de chantier' (site managers) suggests B2B activity.",No,"The company is described as a 'family business' specializing in solar panel installation in a specific region ('Suisse Romande'), suggesting a limited scale and likely not serving 1000+ customers.",,,,,Pre-qualification failed: Capacity_Under_1000,Manufacturing Sector (B2B),,,,,,,,,,,,,,2,Used_Fallback_Description
MEDIARENT,'+41 43 222 33 33,http://www.mediarent.ch,Yes,"The company provides ""Veranstaltungstechnik"" (event technology) and ""DROHNENSHOWS"" which are typically B2B services.",Yes,"The company powers ""DROHNENSHOWS"" and ""Multimediale Inszenierungen"" suggesting a scalable service capable of serving many customers.",,,,,LLM Partner Matching Failed or No Match Found,Event Technology,,,,True,True,Appears Small,Multimedia productions; Drone shows,"Combines art, technology, and individualization",,Service-oriented; Event production,Unknown/Not Specified,"Summary mentions drone shows, combining art and technology.","Business model is relatively clear, target group is not explicitly stated.",3,Success
Symphony Group SA,'+41 21 613 55 55,http://www.sgroup.ch,Yes,The company is an insurance broker ('AlliA Insurance Brokers Suisse SA') which is a B2B service.,Yes,"The company is merging to form a 'stronger entity on the Swiss insurance brokerage market', suggesting a large scale of operations and the capacity to serve many customers.",,,,,LLM Partner Matching Failed or No Match Found,Insurance Brokerage,,,,True,True,Appears Medium,Insurance brokerage services,Enhanced service quality; Increased resources and expertise; Commitment to client satisfaction,Clients in the Swiss insurance market,Insurance brokerage,SME,,The summary clearly states the business is insurance brokerage. The target group is also clear.,4,Success
Stucki Leadership & Team Development AG,'+41 33 334 13 00,http://www.stucki.ch,Yes,"The company provides leadership and team development services ""for companies"", indicating a B2B focus.",Yes,"The company has worked with major corporations such as IBM, ABB, and Bosch, and has multiple locations, suggesting the capacity to serve over 1,000 customers. The text mentions ""global Finance-Organization"" and ""top 200 leaders wolrdwide"".",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Unternehmensberatung, das sich auf Produktionsoptimierung, Leadership Development und Change Management spezialisiert hat und sowohl Produktionsfirmen als auch Dienstleister anspricht. Für dieses Unternehmen generieren wir täglich 2 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Stucki Leadership & Team Development AG, founded in 1984 by Robert Stucki, is a Swiss company specializing in leadership and team development through experiential learning. Originating from Robert Stucki's experiences as a mountain guide and leader in an engineering firm, the company bridges the gap between theoretical management concepts and practical leadership requirements. They offer customized programs and workshops designed to enhance leadership skills, foster team collaboration, and navigate organizational transformations. Their services include leadership expertise development, team development, and organizational transformation, all underpinned by the 'Stucki Method,' a four-phase approach involving Activity, Observation, Reflection, and Transfer. The company targets individuals, teams, and organizations seeking growth and improved performance. They utilize action-oriented learning activities, including outdoor simulations, to create immersive and impactful learning experiences. Stucki's unique selling proposition lies in its hands-on approach, combining practical experience with theoretical models to ensure that learning translates into actionable behaviors. The company's mission is to empower leaders and teams by providing them with the skills and strategies needed to overcome challenges and achieve sustainable growth. They offer free ""Try It Out"" workshops to allow potential clients to experience the Stucki Method firsthand. Stucki has worked with various clients, including Bosch, ABB, and Skan AG, providing solutions for challenges such as cultural transformation, leadership development, and team building.",Denkmal Zukunft GmbH & Co. KG,Ähnliche Dienstleistungen: Leadership Development und Team Performance Optimierung.; Überschneidung im Bereich Organisationsentwicklung.; Beide bieten massgeschneiderte Programme/Workshops an.,Leadership and Team Development,"Industry: Business Process Optimization Consulting; Leadership Development; Change Management Consulting; Services/Products: Production optimization & efficiency improvement; Leadership development; Team performance optimization; Strategy & vision development support; Organizational development; Change management; LEGO® SERIOUS PLAY® Workshops; Funding consultancy (support for identifying and applying for grants).; Target Audience: Production companies; Service providers. (Mentions clients like Pfizer Pharma GmbH and Stadler Deutschland, suggesting capability to serve larger enterprises).; Business Model: Service-oriented; Project-based consulting; Offers specific analyses (e.g., 3-5 day potential analysis) and hands-on implementation support.; Company Size: Unknown/Not Specified; Innovation Level: Use of LEGO® SERIOUS PLAY® (described as ""innovative workshops"" for creative problem-solving); Focus on ""future-oriented"" leadership concepts and ""future-proof"" structures; Aims for sustainable changes.",2.0,42,True,True,Appears Medium,Leadership expertise development; Team development; Organizational transformation; Customized programs and workshops,"Experiential learning; Hands-on approach combining practical experience with theoretical models; Stucki Method (Activity, Observation, Reflection, and Transfer)",Individuals; Teams; Organizations,Service-oriented; Customized workshops and programs,Unknown/Not Specified,"Utilize action-oriented learning activities, including outdoor simulations, to create immersive and impactful learning experiences.",The business model and target audience are clearly articulated in the summary.,5,Success
Solar Manager,'+41 56 512 92 00,http://www.solarmanager.ch,Yes,"The text mentions 'Installateure' (Installers) and 'Vertriebspartner' (Distribution partners), indicating a B2B aspect. Also, the presence of 'Verkaufsberatung für Installateure' (Sales consulting for installers) confirms B2B services.",Yes,"The company has 'Vertriebspartner' (distribution partners) and offers solutions for 'Mehrfamilienhaus' (multi-family homes), suggesting a scalable operation. The presence of 'Deutschland' and 'Schweiz' support further suggests a large customer base.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Dienstleistungen und Smart Home Technologie, das sich unter anderem an Senior Residenzen und Pflegeeinrichtungen richtet. Für dieses Unternehmen generieren wir täglich 3 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Solar Manager AG and Solar Manager GmbH offer solutions for optimizing the use of self-produced solar power. Their product, Solar Manager, allows users to monitor and optimize their energy consumption. It provides visualization of key metrics to show whether there is a surplus of solar power or if electricity is being drawn from the grid. The system supports various applications, including optimizing self-consumption, energy assistance, E-Mobility, household energy management, load management, heat pumps, dynamic electricity tariffs, and ZEV (Zusammenschluss zum Eigenverbrauch - a Swiss model for collective self-consumption). They cater to both private individuals and installers, emphasizing simplicity, manufacturer independence, and comprehensive energy management. The company provides apps for both end customers and installers, and their system is compatible with a range of devices. They also offer solutions for single-family homes and multi-family homes. The company highlights the potential for energy savings in Switzerland and Germany. They provide a portal for monitoring, installation guides, and examples. The company also offers a newsletter for end customers and installers.",visitronic GmbH,Gemeinsame Zielgruppe: potenziell private Hausbesitzer (Smart Home Technologie) und Installateure (IT-Systeme).; Ähnliche technologische Ausrichtung: Smart Home Technologie.; Dienstleistungen im Bereich IT-Systeme.,Solar Energy Management,"Industry: IT Services; MSR (Measurement, Control, Regulation) Technology; Smart Home Technology; RFID Technology; Security Technology; Telecommunications (Data Networks, VoIP, Fiber Optics); Services/Products: Implementation and technical system realization of products in IT systems, MSR, smart home, and RFID technology; IT project support; IT coaching; IT consulting; IT services; System and plant administration; Installation and maintenance of burglary protection systems; Mobile and autonomous 24/7 security solutions; Consulting and implementation of innovative nurse call systems and light call systems; Planning and setup of fast data networks (including VoIP telephony and network technology for software applications); Installation of fiber optic cables for networking buildings and server rooms.; Target Audience: Senior residences and care facilities (specifically for nurse call systems); Other services likely target B2B clients needing IT and specialized technology solutions.; Business Model: Service-oriented (IT services, consulting, coaching, project support, administration, maintenance); Project-based (implementation, installation).; Company Size: Unknown/Not Specified; Innovation Level: ""innovative nurse call systems""; Specialization in Smarthome technology, RFID technology, and Fiber optics.",3.0,29,True,True,Appears Medium,Solar Manager (energy consumption monitoring and optimization); Apps for end customers and installers; Solutions for single-family and multi-family homes,Optimizing the use of self-produced solar power; Simplicity; Manufacturer independence; Comprehensive energy management,Private individuals; Installers,Energy management solutions for self-produced solar power,Unknown/Not Specified,"Summary highlights optimizing self-consumption, energy assistance, E-Mobility, household energy management, load management, heat pumps, dynamic electricity tariffs, and ZEV.",The business model and target audience are clearly articulated in the summary.,6,Success
Effitec SA,'+41 848 701 000,http://www.effitec.ch,Yes,"The company offers services to 'entreprises' (businesses), 'gérances immobilières' (property management), and 'architectes, bureaux d'ingénieurs' (architects, engineering firms), indicating a B2B focus.",Yes,"The company operates throughout 'toute la Suisse romande' (all of French-speaking Switzerland) and lists large organizations like 'TetraPak' and 'Confédération Suisse' as clients, suggesting a large-scale operation capable of serving over 1,000 customers.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Dienstleistungen und Sicherheitstechnik, das ebenfalls Betreutes Wohnen und Pflegeeinrichtungen anspricht, insbesondere im Bereich Schwesternrufsysteme. Für dieses Unternehmen generieren wir täglich 3 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Effitec SA is a company operating in Switzerland Romande that focuses on electrical and fire safety for buildings. They offer a range of services including OIBT (Ordonnance sur les installations à basse tension) electrical inspections, photovoltaic system inspections, electrical safety concepts, acceptance inspections, periodic inspections (quinquennaux), accredited inspections, final inspections, and inspections of electrical appliances according to SNR 462638. They also provide expertise in areas such as lightning protection, thermography, load measurement, and power quality analysis, as well as electrical and mechanical inspections of public lighting. Effitec SA offers training programs in areas such as NIBT/OIBT, fire safety, photovoltaics, ATEX zones, and SNG 482638. They serve various clients including individuals, property management companies, businesses, electrical installers, network operators, architects, and engineering firms. Effitec aims to ensure electrical safety and provides a single point of contact for building safety needs.",visitronic GmbH,"Überschneidung im Bereich Sicherheitstechnik.; Dienstleistungen im Bereich Telekommunikation (Datennetze, VoIP, Glasfaser).; Zielgruppe: Betreutes Wohnen und Pflegeeinrichtungen (speziell für Schwesternrufsysteme).",Electrical and Fire Safety,"Industry: IT Services; MSR (Measurement, Control, Regulation) Technology; Smart Home Technology; RFID Technology; Security Technology; Telecommunications (Data Networks, VoIP, Fiber Optics); Services/Products: Implementation and technical system realization of products in IT systems, MSR, smart home, and RFID technology; IT project support; IT coaching; IT consulting; IT services; System and plant administration; Installation and maintenance of burglary protection systems; Mobile and autonomous 24/7 security solutions; Consulting and implementation of innovative nurse call systems and light call systems; Planning and setup of fast data networks (including VoIP telephony and network technology for software applications); Installation of fiber optic cables for networking buildings and server rooms.; Target Audience: Senior residences and care facilities (specifically for nurse call systems); Other services likely target B2B clients needing IT and specialized technology solutions.; Business Model: Service-oriented (IT services, consulting, coaching, project support, administration, maintenance); Project-based (implementation, installation).; Company Size: Unknown/Not Specified; Innovation Level: ""innovative nurse call systems""; Specialization in Smarthome technology, RFID technology, and Fiber optics.",3.0,29,True,True,Appears Medium,OIBT electrical inspections; Photovoltaic system inspections; Electrical safety concepts; Acceptance inspections; Periodic inspections (quinquennaux); Accredited inspections; Final inspections; Inspections of electrical appliances according to SNR 462638; Lightning protection; Thermography; Load measurement; Power quality analysis; Electrical and mechanical inspections of public lighting; Training programs in NIBT/OIBT; Training programs in fire safety; Training programs in photovoltaics; Training programs in ATEX zones; Training programs in SNG 482638,Single point of contact for building safety needs; Expertise in electrical and fire safety,Individuals; Property management companies; Businesses; Electrical installers; Network operators; Architects; Engineering firms,Service-oriented; Inspections and training,Unknown/Not Specified,,Business model and target audience are clearly articulated in the summary.,7,Success
Stiftung visoparents,,http://www.visoparents.ch,Yes,"The text mentions 'Schulen visoparents' and 'Heilpädagogische Tagesschule visoparents', indicating services offered to schools, which are businesses or organizations.",Yes,"The organization operates multiple 'Standorte' (locations) and provides services like 'Schule IFA (Intensiv-Förderung Autismus Zyklus 1)' and 'Heilpädagogische Tagesschule visoparents', suggesting a capacity to serve a large number of customers.",+41433551020,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich E-Learning und digitale Bildung für den Sozialbereich, das ebenfalls soziale Einrichtungen und Fachkräfte im Sozialwesen anspricht. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Stiftung visoparents is a Swiss foundation focused on supporting families and children with disabilities. Their vision is a society where every person can live equally with their individual abilities and strengths. They offer educational, special education, therapeutic, and integrative services for children in preschool and school settings. They provide various services including Kita Kinderhaus Imago which integrates children with and without disabilities, early autism intervention, schools with intensive autism support, and parent and professional counseling. They also offer self-help groups for parents of children with visual impairments and multiple disabilities. The foundation publishes a magazine called 'imago' covering topics related to disabilities, behavior, assistive devices, medicine, leisure, and care. They rely on donations to support their projects.",Relias Learning GmbH,Gemeinsame Zielgruppe: Soziale Einrichtungen und Fachkräfte im Sozialwesen.; Ähnliche Dienstleistungen: Bereitstellung von digitalen Lernplattformen und E-Learning-Lösungen.; Fokus auf digitale Weiterbildung und Kompetenzentwicklung.,Social Services,"Industry: E-Learning; Digital Education for Healthcare and Social Services; Services/Products: Digital learning platforms; Tailored e-learning solutions for hospitals, nursing homes, social institutions, and emergency services; Online courses with interactive modules and certificates; Legally compliant digital certifications and automatic documentation for mandatory training; Personnel development with individual learning plans and competency analyses.; Target Audience: Healthcare sector (hospitals, nursing homes, medical professionals, nurses); Social care sector (social institutions, social workers); Emergency services.; Business Model: Provider of digital learning platforms and e-learning solutions (likely SaaS or subscription-based).; Company Size: SME (General); Innovation Level: Focus on ""digital"" solutions (digital further education, digital learning platforms, digital certificates, automatic documentation); E-Learning; Interactive modules; Development of digital education solutions.",8.0,6,,,Appears Medium,Educational services; Special education services; Therapeutic services; Integrative services; Kita Kinderhaus Imago; Early autism intervention; Schools with intensive autism support; Parent and professional counseling; Self-help groups for parents of children with visual impairments and multiple disabilities; Magazine 'imago',"Supporting families and children with disabilities; Integrates children with and without disabilities; Offers a variety of services including education, therapy, and counseling",Families with children with disabilities; Children with disabilities; Parents of children with visual impairments and multiple disabilities,Foundation providing services and support through donations,Unknown/Not Specified,,The business model and target audience are clearly articulated in the summary.,8,Success
Gesamthafenbetriebs-Gesellschaft m.b.H.,'+49 40 361280,http://www.ghb.de,Yes,The company provides personnel services to other businesses in the Hamburg harbor. The text mentions 'unterstützt die Hafeneinzelbetriebe mit qualifiziertem Personal' which indicates B2B services.,Yes,"The text states 'Rund 1.000 Gesamthafen-arbeiter:innen' and mentions serving 'Hafeneinzelbetriebe', indicating a capacity to serve multiple businesses and a large workforce.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Personalbeschaffung im Gesundheitswesen, das ebenfalls Arbeitgeber im Gesundheitssektor anspricht. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Gesamthafenbetrieb (GHB) is a personnel service provider in the Port of Hamburg, Germany. They supply qualified personnel to port businesses to cover short-term staffing needs and seasonal fluctuations. GHB focuses on providing trained professionals for various port-related tasks, including container, conventional, and bulk cargo handling. Their employees work as bridge drivers, van carrier drivers, bridge supervisors, checkers, port mobile crane operators, tractor or heavy forklift drivers, wheel loader and bobcat drivers, load securing personnel, and port administrators. GHB emphasizes the importance of up-to-date training for its employees, with many being qualified port specialists who also serve as trainers and instructors. They guarantee the availability of qualified personnel 24/7, 360 days a year. GHB is supported by a social partnership between employer (Unternehmensverband Hafen Hamburg e.V.) and employee organizations (ver.di). The company works with ma-co maritimes competenzcentrum GmbH to provide operational qualifications. The goal is to balance the fluctuations of the port's individual operations in terms of shifts and seasonal requirements. GHB aims to address the changing demands of the Port of Hamburg through extensive qualification of its port workers.",MEDWING GmbH,"Gemeinsame Branche: Personalwesen / Personalvermittlung; MEDWING bietet eine digitale Plattform für die Personalbeschaffung im Gesundheitswesen, was eine gewisse Überschneidung mit der Personalvermittlung für Hafenbetriebe darstellt.; MEDWING bietet auch Zeitarbeitsdienste an.",Personnel Services,"Industry: Digital Recruitment Platform for Healthcare Professionals; Healthcare Staffing; HR Tech for Healthcare; Services/Products: Digital platform for direct access to a pool of 600,000+ healthcare candidates; Job board for companies to post ads and target professionals; Temporary staffing services (MEDWING NOW); International recruiting with integration support for qualified professionals from abroad; Additional headhunting services (candidate pre-selection).; Target Audience: Employers in the healthcare sector, including large hospitals/clinics (e.g., Charité, Vivantes, Sana) and smaller outpatient care services/nursing facilities.; Business Model: Platform-based (offering access to a candidate pool); Job advertisement services; Temporary staffing agency services; Headhunting services.; Company Size: Unknown/Not Specified; Innovation Level: ""Digital platform""; ""Innovative solutions""; ""Revolutionizes personnel placement in healthcare through digital solutions.""",5.0,24,True,True,Appears Large / >=500 potential,Qualified personnel for port businesses; Bridge drivers; Van carrier drivers; Bridge supervisors; Checkers; Port mobile crane operators; Tractor or heavy forklift drivers; Wheel loader and bobcat drivers; Load securing personnel; Port administrators,Qualified personnel; 24/7 availability; Up-to-date training; Social partnership,Port businesses in Hamburg,Personnel service provider,Unknown/Not Specified,Emphasis on up-to-date training for employees.,The business model and target audience are clearly articulated in the summary.,9,Success
Jungbrunn - Der Gutzeitort,'+43 567 56248460,http://www.jungbrunn-crew.at,No,"The company is a hotel, 'Hotel Jungbrunn', which primarily serves individual guests, not businesses.",Yes,"The hotel has '55.000 Übernachtungen pro Jahr' (55,000 overnight stays per year) and '92 Zimmer' (92 rooms), indicating a capacity to serve a significant number of customers.",,,,,Pre-qualification failed: Not_B2B,Retail Technology / Hospitality Technology,,,,,,,,,,,,,,10,Success
ZURIGA AG,,http://www.zuriga.com,Yes,"The company mentions ""verantwortungsvolles Business"" which suggests a focus on business clients.",No,"The text states they produce espresso machines in their own ""Manufaktur mitten in Zürich"", indicating a small-scale, localized operation.",,,,,Pre-qualification failed: Capacity_Under_1000,Digital Media / Creative Tech,,,,,,,,,,,,,,11,Used_Fallback_Description
