Company Name,Original_Number,URL,is_b2b,is_b2b_reason,serves_1000,serves_1000_reason,found_number,sales_pitch,description,matched_golden_partner,match_reasoning,Industry,Matched Partner Description,Avg Leads Per Day,Rank,B2B Indicator,Phone Outreach Suitability,Target Group Size Assessment,Products/Services Offered,USP/Key Selling Points,Customer Target Segments,Business Model,Company Size Inferred,Innovation Level Indicators,Website Clarity Notes,Original Row Number,ScrapeStatus
,,MissingURL,,,,,,,,,Failed at URL Validation: InvalidURL,,,,,,,,,,,,,,,,
Railjobs AG,'+41 41 399 88 88,http://www.railjobs.ch,Yes,"The company provides 'Personalverleih und Vermittlung von Bahnpersonal in der Schweiz' (personnel leasing and placement of railway personnel in Switzerland), indicating a B2B service.",Yes,"The company operates in the railway industry, which implies a large scale and the potential to serve numerous customers. They are 'Ihr zuverlässiger Partner für Bahnpersonal in der Schweiz' (Your reliable partner for railway personnel in Switzerland).",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich digitale Personalvermittlungsplattformen für das Gesundheitswesen, das sich an Arbeitgeber im Gesundheitssektor richtet, darunter große Krankenhäuser und Kliniken. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Rail Jobs AG is a Swiss company specializing in the placement and temporary staffing of qualified railway personnel throughout Switzerland. They cater to railway operations seeking skilled staff, offering a flexible solution to manage business volume and reduce costs. Rail Jobs AG handles the recruitment and administrative tasks associated with personnel, allowing clients to focus on their core operations, such as train operations, customer service, and schedule management. They also provide training for railway personnel, ensuring that employees are well-trained and customer-focused. Rail Jobs AG emphasizes the importance of selecting, training, and providing the best possible railway personnel to their clients. They offer services in personnel leasing and recruitment, and provide training for both their own staff and the staff of their clients. The company is located in Cham, Switzerland, with an additional training location (Rail Academy AG) in Wettingen.",MEDWING GmbH,"Gemeinsame Branche: Personalvermittlung, insbesondere im Bereich spezialisierter Fachkräfte.; Ähnliche Dienstleistungen: Rekrutierung und Personalvermittlung von Fachkräften.; Fokus auf die Vermittlung von qualifiziertem Personal, ähnlich dem Fokus auf qualifiziertes Bahnpersonal.",Railway Personnel Placement and Training,"Industry: Digital Recruitment Platform for Healthcare Professionals; Healthcare Staffing; HR Tech for Healthcare; Services/Products: Digital platform for direct access to a pool of 600,000+ healthcare candidates; Job board for companies to post ads and target professionals; Temporary staffing services (MEDWING NOW); International recruiting with integration support for qualified professionals from abroad; Additional headhunting services (candidate pre-selection).; Target Audience: Employers in the healthcare sector, including large hospitals/clinics (e.g., Charité, Vivantes, Sana) and smaller outpatient care services/nursing facilities.; Business Model: Platform-based (offering access to a candidate pool); Job advertisement services; Temporary staffing agency services; Headhunting services.; Company Size: Unknown/Not Specified; Innovation Level: ""Digital platform""; ""Innovative solutions""; ""Revolutionizes personnel placement in healthcare through digital solutions.""",5.0,24,True,True,Appears Medium,Personnel leasing; Recruitment; Training for railway personnel,Flexible staffing solutions; Cost reduction for railway operations; Focus on well-trained and customer-focused personnel,Railway operations in Switzerland,Personnel placement and temporary staffing agency with training services,SME,,The business model and target audience are clearly articulated in the summary.,3.0,Success
,,MissingURL,,,,,,,,,Failed at URL Validation: InvalidURL,,,,,,,,,,,,,,,,
,,MissingURL,,,,,,,,,Failed at URL Validation: InvalidURL,,,,,,,,,,,,,,,,
,,MissingURL,,,,,,,,,Failed at URL Validation: InvalidURL,,,,,,,,,,,,,,,,
,,MissingURL,,,,,,,,,Failed at URL Validation: InvalidURL,,,,,,,,,,,,,,,,
NRW-Zentrum für Talentförderung,,http://www.nrw-talentzentrum.de,Yes,"The organization partners with schools and universities (""…Partnerhochschulen Kooperationsschulen…""), indicating B2B relationships.",Yes,"The organization runs multiple programs (""…Schülerstipendien RuhrTalente NRWTalente - Region Aachen NRWTalente - Region OWL TalentKollegs…"") and partners with numerous schools, suggesting a large scale of operation and the capacity to serve over 1,000 customers.",+49209947638100,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich E-Learning für den Gesundheits- und Sozialbereich, das sich an Krankenhäuser, Pflegeheime und soziale Einrichtungen richtet. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","The NRW-Zentrum für Talentförderung (NRW Center for Talent Development), located in Gelsenkirchen, Germany, focuses on fostering the talents of children and adolescents, irrespective of their family background. It acts as a platform for talent development, organizing and supporting innovative programs such as NRW-Talentscouting, the RuhrTalente scholarship program for students, and the TalentKolleg Ruhr in Gelsenkirchen and Herne. These initiatives aim to provide intensive support to high-achieving and dedicated talents. The NRW-Talentscouting, in collaboration with the Westfälische Hochschule, supports students in their transition from school to vocational training or (dual) studies and career entry. The RuhrTalente program is a regional scholarship program in Germany that supports high-performing children and adolescents from the 8th grade onwards, particularly those without a family history of academic education. The TalentKolleg Ruhr offers weekly basic training courses in subjects like German, Math, English, Computer Science, and Physics to prepare students for (dual) studies or vocational training, along with individual counseling, workshops, and information events on study and career orientation, international stays, scholarships, and application processes.",Relias Learning GmbH,"Gemeinsame Ausrichtung auf den Bildungssektor, insbesondere im Bereich der Kompetenzentwicklung.; Ähnliche Dienstleistungen: Entwicklung von Lernplattformen und Bildungsangeboten.; Zielgruppe: Fokus auf die Förderung von Talenten und Kompetenzen junger Menschen und Erwachsener.",Talent Development,"Industry: E-Learning; Digital Education for Healthcare and Social Services; Services/Products: Digital learning platforms; Tailored e-learning solutions for hospitals, nursing homes, social institutions, and emergency services; Online courses with interactive modules and certificates; Legally compliant digital certifications and automatic documentation for mandatory training; Personnel development with individual learning plans and competency analyses.; Target Audience: Healthcare sector (hospitals, nursing homes, medical professionals, nurses); Social care sector (social institutions, social workers); Emergency services.; Business Model: Provider of digital learning platforms and e-learning solutions (likely SaaS or subscription-based).; Company Size: SME (General); Innovation Level: Focus on ""digital"" solutions (digital further education, digital learning platforms, digital certificates, automatic documentation); E-Learning; Interactive modules; Development of digital education solutions.",8.0,6,,,Appears Large / >=500 potential,"NRW-Talentscouting; RuhrTalente scholarship program; TalentKolleg Ruhr; Basic training courses (German, Math, English, Computer Science, Physics); Individual counseling; Workshops; Information events",Fostering talents of children and adolescents; Support irrespective of family background; Intensive support to high-achieving and dedicated talents,Children and adolescents; Students transitioning from school to vocational training or studies; High-performing children and adolescents from the 8th grade onwards,Talent development platform offering programs and support services,Unknown/Not Specified,Summary mentions innovative programs.,The business model and target audience are clearly articulated in the summary.,8.0,Success
mowom,,http://www.mowom.space,Yes,"The text mentions 'Formaciones para empresa' and 'Si eres empresa Da el primer paso: abre la puerta al talento de mujeres madres. Te ayudamos a valorar las habilidades desarrolladas en la maternidad e integrarlas en tu empresa a través de formaciones y asesoramiento en igualdad y sostenibilidad.', indicating B2B services.",No,"The text describes a small team and project, with no indication of serving a large customer base. It focuses on helping individual mothers and small businesses, not large-scale operations.",,,,,Pre-qualification failed: Capacity_Under_1000,HR / Recruitment,,,,,,,,,,,,,,9.0,Success
,,MissingURL,,,,,,,,,Failed at URL Validation: InvalidURL,,,,,,,,,,,,,,,,
LANDI THULA Genossenschaft,,http://www.landithula.ch,Yes,"The text mentions 'Landwirtschaft' (agriculture) and serving members, suggesting a business-oriented service rather than direct consumer sales.",No,"The text states 'Mit über 700 Mitgliedern' (with over 700 members), indicating that the company serves less than 1000 customers.",,,,,Pre-qualification failed: Capacity_Under_1000,Food & Beverage,,,,,,,,,,,,,,11.0,Used_Fallback_Description
Zürcher Polizeischule (ZHPS),,http://www.zhps.ch,Yes,"The text mentions 'Zürcher Polizeikorps' (Zurich Police Corps), indicating a business-to-business relationship (school providing services to the police).",Yes,"Serving the 'Zürcher Polizeikorps' implies a large organization as a client, suggesting the capacity to serve over 1000 customers.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich E-Learning und digitale Bildung, das sich an den Gesundheits- und Sozialbereich richtet. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","The text describes a school (Schule) that is goal-oriented (zielorientiert), performance-oriented (leistungsorientiert), people-oriented (menschenorientiert), and practice-oriented (praxisorientiert). It also mentions the ZHPS (Zürcher Hochschule für Polizeiwesen), stating that its quality, reputation, and innovation meet the high standards of the Zurich police corps (Zürcher Polizeikorps). The text does not explicitly state the name of the school but implies a connection between the school and the ZHPS.",Relias Learning GmbH,"Gemeinsame Ausrichtung auf den Bildungssektor.; Relias Learning bietet digitale Lernplattformen, die für Bildungseinrichtungen relevant sind.; Fokus auf digitale Lösungen und E-Learning.",Education,"Industry: E-Learning; Digital Education for Healthcare and Social Services; Services/Products: Digital learning platforms; Tailored e-learning solutions for hospitals, nursing homes, social institutions, and emergency services; Online courses with interactive modules and certificates; Legally compliant digital certifications and automatic documentation for mandatory training; Personnel development with individual learning plans and competency analyses.; Target Audience: Healthcare sector (hospitals, nursing homes, medical professionals, nurses); Social care sector (social institutions, social workers); Emergency services.; Business Model: Provider of digital learning platforms and e-learning solutions (likely SaaS or subscription-based).; Company Size: SME (General); Innovation Level: Focus on ""digital"" solutions (digital further education, digital learning platforms, digital certificates, automatic documentation); E-Learning; Interactive modules; Development of digital education solutions.",8.0,6,,,Unknown,,Goal-oriented; Performance-oriented; People-oriented; Practice-oriented,,Educational Institution,Unknown/Not Specified,"quality, reputation, and innovation meet the high standards of the Zurich police corps",The summary provides limited information about the school's specific offerings or target audience.,12.0,Used_Fallback_Description
,,MissingURL,,,,,,,,,Failed at URL Validation: InvalidURL,,,,,,,,,,,,,,,,
,,MissingURL,,,,,,,,,Failed at URL Validation: InvalidURL,,,,,,,,,,,,,,,,
,,MissingURL,,,,,,,,,Failed at URL Validation: InvalidURL,,,,,,,,,,,,,,,,
,,MissingURL,,,,,,,,,Failed at URL Validation: InvalidURL,,,,,,,,,,,,,,,,
