Company Name,Original_Number,URL,is_b2b,is_b2b_reason,serves_1000,serves_1000_reason,found_number,sales_pitch,description,matched_golden_partner,match_reasoning,Industry,Matched Partner Description,Avg Leads Per Day,Rank,B2B Indicator,Phone Outreach Suitability,Target Group Size Assessment,Products/Services Offered,USP/Key Selling Points,Customer Target Segments,Business Model,Company Size Inferred,Innovation Level Indicators,Website Clarity Notes,Original Row Number,ScrapeStatus
,,MissingURL,,,,,,,,,Failed at URL Validation: InvalidURL,,,,,,,,,,,,,,,,
Webpage,,http://www.webpage-online.de,,,,,,,,,No text collected from website scraping and no fallback,Unknown/Not Specified,,,,,,,,,,,,,,3.0,Success
,,MissingURL,,,,,,,,,Failed at URL Validation: InvalidURL,,,,,,,,,,,,,,,,
,,MissingURL,,,,,,,,,Failed at URL Validation: InvalidURL,,,,,,,,,,,,,,,,
VSG TÄGERWILEN,'+41 71 666 85 85,http://www.vsgtaegerwilen.ch,Yes,"The company is a school district (Volksschulgemeinde Tägerwilen), providing educational services, which is a B2B service to other organizations and potentially businesses that rely on the education system.",Yes,"The text describes a school district with multiple locations and teams, suggesting a large organization serving a significant number of students. The presence of multiple schools (e.g., 'Gesamtschule Gottlieben Dorfschule Wäldi') and various teams (e.g., 'Kindergarten-Team', 'Zyklus 3 -Team') indicates a capacity to serve over 1,000 customers.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich E-Learning und digitale Bildung, das sich an Bildungseinrichtungen und Schulen richtet. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Volksschulgemeinde Tägerwilen (VSG Tägerwilen) is a Swiss public school organization located in Tägerwilen, Switzerland. It provides education and related services, including kindergarten, primary school (Zyklus 1 and 2), and secondary school (Zyklus 3). The organization's services extend to offerings like integrative support (IF), school-based remedial education (SHP), introductory classes (EK), speech therapy, German as a second language (DAZ), learning workshops, homework support, a support center, and the LIFT youth project. VSG Tägerwilen also offers extracurricular activities such as the 'Kindertreff' (children's meeting place) and 'Spielgruppe' (playgroup). The school emphasizes media and informatics, providing an online learning platform and promoting media competence. The ICT team manages the IT infrastructure and provides technical and pedagogical support. The organization is governed by a school board and operates according to defined principles and strategic goals.",Relias Learning GmbH,"Gemeinsame Ausrichtung auf den Bildungssektor.; Relias Learning bietet digitale Lernplattformen, die potenziell für Schulen relevant sein könnten.; Fokus auf digitale Bildungslösungen.",Education,"Industry: E-Learning; Digital Education for Healthcare and Social Services; Services/Products: Digital learning platforms; Tailored e-learning solutions for hospitals, nursing homes, social institutions, and emergency services; Online courses with interactive modules and certificates; Legally compliant digital certifications and automatic documentation for mandatory training; Personnel development with individual learning plans and competency analyses.; Target Audience: Healthcare sector (hospitals, nursing homes, medical professionals, nurses); Social care sector (social institutions, social workers); Emergency services.; Business Model: Provider of digital learning platforms and e-learning solutions (likely SaaS or subscription-based).; Company Size: SME (General); Innovation Level: Focus on ""digital"" solutions (digital further education, digital learning platforms, digital certificates, automatic documentation); E-Learning; Interactive modules; Development of digital education solutions.",8.0,6,,,Appears Medium,Kindergarten; Primary school (Zyklus 1 and 2); Secondary school (Zyklus 3); Integrative support (IF); School-based remedial education (SHP); Introductory classes (EK); Speech therapy; German as a second language (DAZ); Learning workshops; Homework support; Support center; LIFT youth project; Kindertreff; Spielgruppe,Comprehensive education services; Extracurricular activities; Focus on media and informatics,Children; Students; Parents,Public school organization,SME,"The school emphasizes media and informatics, providing an online learning platform and promoting media competence.",The business model and services are clearly articulated.,6.0,Success
,,MissingURL,,,,,,,,,Failed at URL Validation: InvalidURL,,,,,,,,,,,,,,,,
,,MissingURL,,,,,,,,,Failed at URL Validation: InvalidURL,,,,,,,,,,,,,,,,
SUSHI FACTORY,'+49 40 5556560,http://www.sushi-factory.com,Yes,"The text mentions ""B2B CATERING / EVENTS"", indicating a business-to-business service.",Yes,"The company operates multiple ""Sushi bars Hamburg"" and offers delivery services, suggesting a capacity to serve a large number of customers. The mention of ""1504 Partner"" also indicates a large scale.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Premium-Schokoladenherstellung, das ebenfalls Hotels und Gastronomie sowie Unternehmen anspricht, die hochwertige Geschenke suchen. Für dieses Unternehmen generieren wir täglich 15 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Sushi Factory is a sushi delivery service with sushi bars and a restaurant called FUGU in Hamburg, Germany. They offer home delivery, take away, B2B catering, and cooking courses. They also sell gift certificates and have a Sushi Factory Card. The company emphasizes sustainability, health, quality, and know-how. Their delivery area is Hamburg, and they provide phone and online ordering options. The text also mentions job openings and the company's philosophy and engagement.",Coppeneur,"B2B-Kunden: Sushi Factory bietet B2B-Catering an, während Coppeneur maßgeschneiderte Gourmet-Lösungen für Hotels & Gastronomie anbietet.; Geschenkartikel: Beide Unternehmen bieten Geschenkartikel an (Sushi Factory Geschenkgutscheine, Coppeneur kundenspezifische Geschenksets).; Gastronomie: Sushi Factory betreibt Restaurants, Coppeneur bietet Lösungen für Hotels & Gastronomie.",Food Delivery,"Industry: Premium Chocolate Manufacturing / Confectionery; Services/Products: Bean-to-bar chocolate production; Handmade pralines & truffles; Customized gift sets & corporate gifts; Specialties & limited editions; High-quality chocolates and customized gourmet solutions for hotels & gastronomy.; Target Audience: Hotels & Gastronomy sector; Companies (for corporate gifts, customer loyalty); Gourmets/Connoisseurs.; Business Model: Product-driven (manufacturing and sale of premium chocolate products); Service-oriented (offering customized solutions, especially for B2B).; Company Size: Small; Innovation Level: ""Innovative creations.""",15.0,8,True,True,Appears Medium,Sushi delivery; Sushi bars; Restaurant (FUGU); Take away; B2B catering; Cooking courses; Gift certificates; Sushi Factory Card,Sustainability; Health; Quality; Know-how,Individuals; Businesses (B2B),Delivery service with restaurant and catering,Unknown/Not Specified,,The business model and offerings are clear. The target audience includes both individual customers and businesses.,9.0,Success
,,MissingURL,,,,,,,,,Failed at URL Validation: InvalidURL,,,,,,,,,,,,,,,,
Wimdu,'+49 30 300131800,http://www.wimdu.com,No,"The text focuses on vacation rentals and city apartments for individual travelers, indicating a B2C business model. Keywords like 'Vacation Rentals' and 'Guests' suggest individual consumers.",Yes,"The company has 'over 350,000 vacation rentals located in the some of the best spots around the globe,' indicating a large-scale operation and the capacity to serve many customers.",,,,,Pre-qualification failed: Not_B2B,IT Services / Managed Services,,,,,,,,,,,,,,11.0,Success
