Company Name,Original_Number,URL,is_b2b,is_b2b_reason,serves_1000,serves_1000_reason,found_number,sales_pitch,description,matched_golden_partner,match_reasoning,Industry,Matched Partner Description,Avg Leads Per Day,Rank,B2B Indicator,Phone Outreach Suitability,Target Group Size Assessment,Products/Services Offered,USP/Key Selling Points,Customer Target Segments,Business Model,Company Size Inferred,Innovation Level Indicators,Website Clarity Notes,Original Row Number,ScrapeStatus
Akidemy - Bilingual Day Care,,http://www.akidemy.ch,Yes,"The company provides childcare services, and the text mentions being an ""Erziehungspartner für Eltern"", indicating a service provided to parents (businesses in this context).",No,"The text describes a local daycare with multiple locations in ""Zürich und Umgebung"", but there is no indication of serving thousands of customers. The scale seems limited to the local area.",,,,,Pre-qualification failed: Capacity_Under_1000,Service-Oriented (General B2B),,,,,,,,,,,,,,2,Success
Doodle,'+41 44 271 20 70,http://www.doodle.com,Yes,"The text mentions 'enterprise-level security' and solutions for 'Recruiting', 'Sales', and 'Small businesses', indicating a focus on business clients.",Yes,"The text describes Doodle as a 'platform' with 'integrations' and 'enterprise-level security', suggesting a scalable service capable of serving a large number of customers.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich HR-Software, das sich an kleine und mittelständische Unternehmen (KMU) richtet und Lösungen für Personalverwaltung und Terminplanung anbietet. Für dieses Unternehmen generieren wir täglich 2 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Doodle is an online scheduling tool that aims to simplify, automate, and improve the process of recruitment and onboarding, as well as sales and marketing team coordination, and scheduling for educators and students. It offers various products and features tailored to different use cases. For groups, Doodle provides Group Polls and Sign-up Sheets. For individuals, it offers 1:1 scheduling and Booking Pages. Key features include collecting payments, integrations with other tools, and enterprise-level security. Doodle's solutions cater to recruiting, sales, collecting payments, education, and non-profit sectors, targeting freelancers, consultants, and small businesses. For recruiters, Doodle helps shorten the time to hire by facilitating faster meeting booking, enabling them to send candidates 1:1 scheduling options or Booking Pages, set up panel interviews quickly by adding colleagues' calendars, and provide a branded experience. It also helps reduce no-shows with automatic reminders and streamlines the recruitment process. For sales and marketing teams, Doodle helps book more client meetings faster, improving conversion rates. It allows creating booking pages for different meeting types, adding company branding, prequalifying leads, and coordinating with technical consultants. For educators, Doodle simplifies scheduling for staff, students, and external stakeholders, offering tools for booking faculty meetings, coordinating parent-teacher meetings, and setting up office hours. The platform emphasizes ease of use and aims to put users back in control of their schedules, offering features like group polls and booking pages with custom branding.",HRlab,"Ähnliche Zielgruppe: Kleine und mittelständische Unternehmen (KMU), die nach Lösungen für Terminplanung und HR-Prozesse suchen.; Überschneidung bei Produkten/Services: Sowohl Doodle als auch HRlab bieten Lösungen für Terminplanung und Prozessautomatisierung.; HRlab bietet digitale Personalverwaltung, was für Unternehmen relevant ist, die auch Doodle für die Terminplanung nutzen.",Online Scheduling Tool,"Industry: Cloud-based HR Software; SaaS (HR Tech); Services/Products: Cloud-based HR software platform offering: Personnel management (centralized employee data and document management, flexible templates, digital signature); Process automation (customizable workflows for routine tasks); Time management (digital recording of working hours, vacation/absence management, mobile app support); Applicant management (management of job postings and applications).; Target Audience: Medium-sized enterprises (SMEs); Business Model: SaaS (Software as a Service); Subscription-based (implied by cloud software and a 14-day free trial offer).; Company Size: Unknown/Not Specified; Innovation Level: Cloud-based software; Automation of HR processes; Digital signature; Digital time recording; Mobile app support; Customizable workflows.",2.0,45,True,True,Appears Large / >=500 potential,Group Polls; Sign-up Sheets; 1:1 scheduling; Booking Pages,"Simplify, automate, and improve scheduling; Integrations with other tools; Enterprise-level security; Automatic reminders",Recruiters; Sales and marketing teams; Educators; Students; Freelancers; Consultants; Small businesses,Online scheduling tool (SaaS),Unknown/Not Specified,,The business model and target audience are clearly articulated in the summary.,3,Success
Chipglobe,'+49 89 66595935,http://www.chipglobe.com,Yes,"The company focuses on ""Chip Design Management"" and mentions ""Industriepartnerschaften"", indicating B2B services.",Yes,"The company has multiple locations (""München"", ""Belgrad"", ""Singapore"", ""Dresden"", ""Thessaloniki"") and offers ""Chip Design Center Consulting"", suggesting a scalable operation.",,,,,LLM Partner Matching Failed or No Match Found,Chip Design and Embedded Systems,,,,True,True,Appears Medium,"Chip Design; Embedded Systems; Functional and Mixed-Signal Verification; RTL2GDS Implementation, Layout, and Verification; Design Center Operations; Outsourcing; Expert Consulting",Comprehensive chip design management; Collaborative approach to project realization; Focus on technologies that benefit the environment and energy sectors; Emphasis on teamwork and shared value creation,,Service-oriented; Project-based consulting,Unknown/Not Specified,"High-tech environment, visionary thinking, collective intelligence","The business model is relatively clear, but the target group is not explicitly stated.",4,Success
mybacs,'+49 911 4755816,http://www.mybacs.com,No,"The company focuses on 'intestinal healthcare' and 'daily well-being of our customers', indicating a direct-to-consumer (DTC) model.",Yes,"The company aims to 'revolutionize the market' and focuses on 'innovative and highly-dosed synbiotic supplements', suggesting a scalable operation targeting a large customer base.",,,,,Pre-qualification failed: Not_B2B,Healthcare Services,,,,,,,,,,,,,,5,Used_Fallback_Description
SWISS Foundation for Innovation and Training in Surgery (SFITS),'+41 22 322 91 00,http://www.sfits.ch,Yes,"The text mentions ""Medtech/Sponsor Participant/Faculty a Hospital/Clinic Researcher Corporate R&D Innovator/Startup"", indicating that the company provides services to businesses and institutions.",Yes,"The text mentions ""In our lounge where over 4’000 participants and 260 faculty pass through every year"", suggesting a large scale of operation.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich digitale Lernplattformen für den Gesundheits- und Sozialbereich, das sich ebenfalls an Krankenhäuser, Pflegeheime und medizinisches Fachpersonal richtet. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","The SWISS Foundation for Innovation and Training in Surgery (SFITS) is a state-of-the-art surgical training, research, and innovation center. It focuses on educating surgeons and operating room professionals, offering a range of products and services including face-to-face practical workshops and events, R&D testing and concept validation, e-learning module conception, hybrid events and live streaming from operating rooms, certification and training for participants and faculty, logbook services, pedagogical surgical video editing, and anatomical illustration creation. SFITS collaborates with organizations like the Hôpitaux Universitaires de Genève (HUG) and the Future of Health Grant program. The center's core activities revolve around facilitating surgical training, promoting medical equipment, improving surgical practices, and developing innovative surgical technologies. SFITS operates with three pillars of excellence: people & know-how (including operational, pedagogical, administrative, communication, and technical teams), processes & infrastructure (modern infrastructure, wetlabs, controlled environment, ethical specimen management, and efficient processes), and products & services. SFITS aims to drive the entire educational value chain in surgery and interventional medicine, from instructional design to participant certification. They offer various courses and modules, including basic surgical skills courses and advanced training in areas like gynecological endoscopy (GESEA accredited). SFITS also engages in research and innovation, partnering with initiatives like the Future of Health Grant to accelerate digital innovation in surgical and interventional medicine. The center targets medtech companies, sponsors, residents/medical students, training participants, researchers, innovators/startups, hospitals/clinics, and corporate R&D departments.",Relias Learning GmbH,"Gemeinsame Ausrichtung auf den Gesundheitssektor (Krankenhäuser, Pflegeheime, medizinisches Fachpersonal).; Ähnliche Produkte/Services: E-Learning-Module und digitale Lernplattformen.; SFITS bietet E-Learning-Modulkonzeption an, Relias Learning bietet digitale Lernplattformen.",Surgical Training and Innovation,"Industry: E-Learning; Digital Education for Healthcare and Social Services; Services/Products: Digital learning platforms; Tailored e-learning solutions for hospitals, nursing homes, social institutions, and emergency services; Online courses with interactive modules and certificates; Legally compliant digital certifications and automatic documentation for mandatory training; Personnel development with individual learning plans and competency analyses.; Target Audience: Healthcare sector (hospitals, nursing homes, medical professionals, nurses); Social care sector (social institutions, social workers); Emergency services.; Business Model: Provider of digital learning platforms and e-learning solutions (likely SaaS or subscription-based).; Company Size: SME (General); Innovation Level: Focus on ""digital"" solutions (digital further education, digital learning platforms, digital certificates, automatic documentation); E-Learning; Interactive modules; Development of digital education solutions.",8.0,6,True,True,Appears Large / >=500 potential,Face-to-face practical workshops and events; R&D testing and concept validation; E-learning module conception; Hybrid events and live streaming from operating rooms; Certification and training; Logbook services; Pedagogical surgical video editing; Anatomical illustration creation,"State-of-the-art surgical training, research, and innovation center; Focus on the entire educational value chain in surgery; Collaboration with HUG and Future of Health Grant program",Medtech companies; Sponsors; Residents/medical students; Training participants; Researchers; Innovators/startups; Hospitals/clinics; Corporate R&D departments,"Training, research, and innovation center offering various services and products related to surgery and interventional medicine.",Unknown/Not Specified,"The SWISS Foundation for Innovation and Training in Surgery (SFITS) is a state-of-the-art surgical training, research, and innovation center.","The summary clearly outlines the services, target audience, and business model of SFITS.",6,Success
Kaleido Privatbank AG,'+41 44 787 62 00,http://www.kaleidoprivatbank.ch,Yes,"The company offers ""Transactional Banking Services"" and ""Family Office in a Box"", indicating services for businesses and high-net-worth individuals, thus B2B.",Yes,"The company is a bank offering services like ""E-Banking"" and operates in Switzerland, suggesting a scalable operation with the potential to serve over 1,000 customers. They also mention working with ""Financial Intermediaries"".",,,,,LLM Partner Matching Failed or No Match Found,Private Banking,,,,True,True,Appears Medium,Investment portfolios; Private market investments; Bank-backed digital assets; Special financing solutions; Transactional banking services; 'Family Office in a Box' service; Investment advice; Real estate advice; Inheritance planning; Pension planning; Wealth planning; Family office advice; E-banking services,Progressive and focused on investments that advance the human future; Holistic wealth view of both digital and traditional assets; Protect and grow strategy designed to produce positive real returns,Private individuals; Financial intermediaries; Individuals relocating to Switzerland,Private banking with a focus on wealth management and investment advisory,Unknown/Not Specified,They position themselves as progressive and focused on investments that advance the human future.,The business model and target audience are clearly articulated in the summary.,7,Success
ANOUK Fashion,,http://www.anoukfashion.com,No,The company sells clothing and accessories directly to consumers through its website and boutiques. There is no indication of B2B activities.,Yes,"The company has ""Über 50 Boutiquen"" (over 50 boutiques) and an online shop, indicating a capacity to serve over 1,000 customers.",,,,,Pre-qualification failed: Not_B2B,Retail Sector (B2B),,,,,,,,,,,,,,8,Success
AXIS Flight Training Systems,'+43 59 8890,http://www.axis-simulation.com,Yes,"The company provides flight simulation solutions and training devices, indicating a focus on business clients. The text mentions 'training operations' and 'flight training systems'.",Yes,"The company has multiple locations ('headquartered in Austria and has offices in Canada and Hungary') and serves the aviation industry, implying a large customer base. They also attend industry events around the world.",,,,,LLM Partner Matching Failed or No Match Found,Flight Simulation,,,,True,True,Appears Medium,"Flexible System (AX-D Flex); Full Flight Simulators (Level D); Virtual Procedure Trainer (VPT); Flight Training Devices (AX-T, AX-1, AX-2); Custom-built Panels; Web-based Avionic Trainers (FMS/GNSS); Avionics Simulation (TAWS, TCAS II, WXR, GPS/LPV)",Innovation; Realism; Reliability; Cost-effectiveness; Ease of use,Aviation industry,Design and build flight simulation solutions,SME,"AXIS emphasizes innovation... innovative technologies such as a proprietary control loading system, Smart Panels, simplified I/O buses, TMCS (Technical Monitor and Control System), and Rehost platform.",The business model and target audience are clearly articulated in the summary.,9,Success
ERNE decon AG,'+41 62 869 43 00,http://www.erne-decon.ch,Yes,"The company targets ""Manufacturing"", ""Chemical industry"", ""Pharmaceutical industry"", ""Public sector"", and ""Private sector"", indicating a B2B focus.",Yes,"The company offers services to a wide range of industries and handles ""Infrastructure projects"" and ""Cleaning of industrial facilities"", suggesting a large-scale operation.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung, das sich auf die digitale Transformation im Industriesektor spezialisiert hat und Unternehmen mit komplexen technischen Anlagen anspricht. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","The provided text outlines various services and target groups across multiple industries. The target groups include manufacturing, chemical, pharmaceutical, public, private, administration, food service, construction, and infrastructure sectors. The services offered are categorized into Surface, Industry Service, Gutting, and Removal of hazardous substances. Surface services involve removal of contaminated paint, substrate preparation for various applications (paint, coatings, structural reinforcement, concrete repair, construction), gentle concrete removal, surface formation, steel cutting using water, and water treatment. Industry services cover cleaning of industrial facilities (heat exchangers, pipelines, tanks, boilers, pipes, reactors, agitators, surfaces, facades, apparatus, equipment, grates, vats, and basins). Gutting services include consulting, planning, preparation for conversion/demolition, professional material removal, recycling, and disposal. Hazardous substance removal involves building inspection, analysis, cost estimation, strategy/planning, professional removal of hazardous materials, and disposal of contaminated materials. The text also mentions general construction services such as Hochbau, Tiefbau, Sanierung, Umbau, Kundenmaurerarbeiten, and Generalunternehmung.",RODIAS GmbH,Gemeinsame Zielgruppe: Industrieunternehmen mit komplexen technischen Anlagen.; Ähnliche Dienstleistungen: Beratung und IT-Lösungen für die Wartung und Instandhaltung von Anlagen.; Überschneidung bei digitalen Transformationslösungen für industrielle Prozesse.,Industrial Services,"Industry: IT Consulting (specializing in digital transformation for industry, particularly maintenance and asset management); Services/Products: Customized IT solutions for maintenance, asset management, operation and dismantling of complex technical plants; Consulting services for maintenance; Free potential analysis; AI in maintenance; Predictive Maintenance; Augmented Reality for maintenance teams; Maintenance 4.0 solutions; Mobile apps for on-site maintenance; 360° Asset Lifecycle Management (consulting, implementation, service, support); Enterprise Asset Management (EAM) 4.0 solutions; Custom software development; Service & Support.; Target Audience: Industrial companies with complex technical plants requiring maintenance and asset management solutions.; Business Model: IT consulting; Project-based development of customized software solutions; Service and support (implementation, ongoing support).; Company Size: SME (General) / Medium; Innovation Level: Digital transformation; AI in maintenance; Predictive Maintenance; Augmented Reality; Maintenance 4.0; Analytics; Condition-Based Maintenance; Awarded as TOP 100 Innovator 2022.",8.0,19,True,True,Appears Large / >=500 potential,"Surface services (paint removal, substrate preparation, concrete removal); Industry services (cleaning of industrial facilities); Gutting services (consulting, planning, material removal); Hazardous substance removal (building inspection, analysis, removal); General construction services (Hochbau, Tiefbau, Sanierung, Umbau, Kundenmaurerarbeiten, Generalunternehmung)",,Manufacturing; Chemical; Pharmaceutical; Public; Private; Administration; Food service; Construction; Infrastructure sectors,Service-oriented; Project-based,Unknown/Not Specified,,"The summary provides a comprehensive list of services and target industries, but the overall business model and specific value propositions are not explicitly stated.",10,Used_Fallback_Description
bestbytes,'+49 89 413277200,http://www.bestbytes.com,Yes,"The company develops ""digitale Lösungen"" for ""Kunden"" and ""Partner"", indicating a B2B focus.",Yes,"The company mentions ""skalierbaren Headless-Plattform"" and has ""Standorten in 5 Ländern in Europa"", suggesting a scalable business model and a broad reach.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für eine Digitalagentur, die sich auf E-Commerce-Lösungen und Prozessoptimierung für Unternehmen spezialisiert hat. Für dieses Unternehmen generieren wir täglich 3 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","bestbytes is a German digital business engineering company founded in 1998 in Munich. It operates as an independent, owner-managed firm with over 60 experts across 5 European countries. bestbytes specializes in developing customized digital solutions at the intersection of strategy, design, technology, and operations, catering to both international corporations and national SMEs. Their offerings include eCommerce platforms with a headless architecture, web and app development, eFinance, and Legal Tech solutions. They provide full-service support from strategy and design to software development and application operation, emphasizing user-centric technology solutions. bestbytes leverages a technology-agnostic approach, combining open-source, cloud-native concepts, and a proven eBusiness framework. They offer lifecycle management, operating and optimizing the software they develop, and value long-term partnerships with clients. The company's mission is to achieve client goals through partnership, innovation, and a commitment to positively impacting people and the environment.",Digitalagentur1,Gemeinsame Ausrichtung auf digitale Lösungen und Dienstleistungen für Unternehmen.; Überschneidung im Bereich E-Commerce-Entwicklung und Webentwicklung.; Spezialisierung auf Prozessoptimierung und Automatisierung.,Digital Business Engineering,"Industry: Digital Agency; IT Services (Process Optimization, Automation); Digital Marketing (SEO, Online Marketing); E-commerce Development; Legal Tech Services (specializing in law firms).; Services/Products: Web development & E-commerce (custom websites, platforms & online shops); SEO & Online Marketing (online visibility optimization, performance marketing & social media strategies); Automation & Digitization (implementation of efficient digital processes); Lead Generation & Conversion Optimization (customer acquisition & revenue increase strategies); Process optimization for law firms (efficient client management through digital workflows, DATEV specialization).; Target Audience: Businesses (general); Law firms (specific focus).; Business Model: Full-service digital agency; Service-oriented; Project-based (implied by custom development and strategy implementation).; Company Size: …; Innovation Level: Digitization; Automation; Digital processes; Innovative solutions.",3.0,26,True,True,Appears Large / >=500 potential,eCommerce platforms with headless architecture; Web and app development; eFinance solutions; Legal Tech solutions,Customized digital solutions; User-centric technology solutions; Technology-agnostic approach; Full-service support from strategy and design to software development and application operation,International corporations; National SMEs,Service-oriented; Project-based consulting and software development,SME,"Leverages a technology-agnostic approach, combining open-source, cloud-native concepts, and a proven eBusiness framework.",The business model and target audience are clearly articulated in the summary.,11,Success
